q,n,kind,lambda_q,ratio
22,1000,composite,10,1.4476482730108395
23,1000,prime,22,3.184826200623847
24,1000,composite,2,0.2895296546021679
25,1000,prime_power,20,2.895296546021679
26,1000,composite,12,1.7371779276130073
27,1000,prime_power,18,2.605766891419511
28,1000,composite,6,0.8685889638065036
29,1000,prime,28,4.05341516443035
30,1000,composite,4,0.5790593092043358
31,1000,prime,30,4.342944819032518
32,1000,prime_power,8,1.1581186184086716
33,1000,composite,10,1.4476482730108395
34,1000,composite,16,2.316237236817343
35,1000,composite,12,1.7371779276130073
36,1000,composite,6,0.8685889638065036
37,1000,prime,36,5.211533782839022
38,1000,composite,18,2.605766891419511
39,1000,composite,12,1.7371779276130073
40,1000,composite,4,0.5790593092043358
41,1000,prime,40,5.790593092043358
42,1000,composite,6,0.8685889638065036
43,1000,prime,42,6.080122746645526
44,1000,composite,10,1.4476482730108395
45,1000,composite,12,1.7371779276130073
46,1000,composite,22,3.184826200623847
47,1000,prime,46,6.659182055849862
48,1000,composite,4,0.5790593092043358
49,1000,prime_power,42,6.080122746645526
50,1000,composite,20,2.895296546021679
51,1000,composite,16,2.316237236817343
52,1000,composite,12,1.7371779276130073
53,1000,prime,52,7.527771019656365
54,1000,composite,18,2.605766891419511
55,1000,composite,20,2.895296546021679
56,1000,composite,6,0.8685889638065036
57,1000,composite,18,2.605766891419511
58,1000,composite,28,4.05341516443035
59,1000,prime,58,8.396359983462869
60,1000,composite,4,0.5790593092043358
61,1000,prime,60,8.685889638065037
62,1000,composite,30,4.342944819032518
63,1000,composite,6,0.8685889638065036
64,1000,prime_power,16,2.316237236817343
65,1000,composite,12,1.7371779276130073
66,1000,composite,10,1.4476482730108395
67,1000,prime,66,9.55447860187154
68,1000,composite,16,2.316237236817343
69,1000,composite,22,3.184826200623847
70,1000,composite,12,1.7371779276130073
71,1000,prime,70,10.133537911075877
72,1000,composite,6,0.8685889638065036
73,1000,prime,72,10.423067565678044
74,1000,composite,36,5.211533782839022
75,1000,composite,20,2.895296546021679
76,1000,composite,18,2.605766891419511
77,1000,composite,30,4.342944819032518
78,1000,composite,12,1.7371779276130073
79,1000,prime,78,11.291656529484548
80,1000,composite,4,0.5790593092043358
81,1000,prime_power,54,7.817300674258533
82,1000,composite,40,5.790593092043358
83,1000,prime,82,11.870715838688884
84,1000,composite,6,0.8685889638065036
85,1000,composite,16,2.316237236817343
86,1000,composite,42,6.080122746645526
87,1000,composite,28,4.05341516443035
88,1000,composite,10,1.4476482730108395
89,1000,prime,88,12.739304802495388
90,1000,composite,12,1.7371779276130073
91,1000,composite,12,1.7371779276130073
92,1000,composite,22,3.184826200623847
93,1000,composite,30,4.342944819032518
94,1000,composite,46,6.659182055849862
95,1000,composite,36,5.211533782839022
96,1000,composite,8,1.1581186184086716
97,1000,prime,96,13.897423420904058
98,1000,composite,42,6.080122746645526
99,1000,composite,30,4.342944819032518
100,1000,composite,20,2.895296546021679
101,1000,prime,100,14.476482730108394
102,1000,composite,16,2.316237236817343
103,1000,prime,102,14.766012384710562
104,1000,composite,12,1.7371779276130073
105,1000,composite,12,1.7371779276130073
106,1000,composite,52,7.527771019656365
107,1000,prime,106,15.345071693914898
108,1000,composite,18,2.605766891419511
109,1000,prime,108,15.634601348517066
110,1000,composite,20,2.895296546021679
111,1000,composite,36,5.211533782839022
112,1000,composite,12,1.7371779276130073
113,1000,prime,112,16.2136606577214
114,1000,composite,18,2.605766891419511
115,1000,composite,44,6.369652401247694
116,1000,composite,28,4.05341516443035
117,1000,composite,12,1.7371779276130073
118,1000,composite,58,8.396359983462869
119,1000,composite,48,6.948711710452029
120,1000,composite,4,0.5790593092043358
2,10000,prime,1,0.10857362047581294
3,10000,prime,2,0.21714724095162588
4,10000,prime_power,2,0.21714724095162588
5,10000,prime,4,0.43429448190325176
6,10000,composite,2,0.21714724095162588
7,10000,prime,6,0.6514417228548777
8,10000,prime_power,2,0.21714724095162588
9,10000,prime_power,6,0.6514417228548777
10,10000,composite,4,0.43429448190325176
11,10000,prime,10,1.0857362047581294
12,10000,composite,2,0.21714724095162588
13,10000,prime,12,1.3028834457097553
14,10000,composite,6,0.6514417228548777
15,10000,composite,4,0.43429448190325176
16,10000,prime_power,4,0.43429448190325176
17,10000,prime,16,1.737177927613007
18,10000,composite,6,0.6514417228548777
19,10000,prime,18,1.954325168564633
20,10000,composite,4,0.43429448190325176
21,10000,composite,6,0.6514417228548777
22,10000,composite,10,1.0857362047581294
23,10000,prime,22,2.3886196504678847
24,10000,composite,2,0.21714724095162588
25,10000,prime_power,20,2.1714724095162588
26,10000,composite,12,1.3028834457097553
27,10000,prime_power,18,1.954325168564633
28,10000,composite,6,0.6514417228548777
29,10000,prime,28,3.0400613733227626
30,10000,composite,4,0.43429448190325176
31,10000,prime,30,3.2572086142743886
32,10000,prime_power,8,0.8685889638065035
33,10000,composite,10,1.0857362047581294
34,10000,composite,16,1.737177927613007
35,10000,composite,12,1.3028834457097553
36,10000,composite,6,0.6514417228548777
37,10000,prime,36,3.908650337129266
38,10000,composite,18,1.954325168564633
39,10000,composite,12,1.3028834457097553
40,10000,composite,4,0.43429448190325176
